
4,24,14,19.34422,12.90837,(1.0, -4.8),13.71849,-6.587371,-4.411812,2.201074,7.810527,-3.028654,5,22,20,28.66114,2.477992,(8.4, 4.3),4.064621,1.907565,-0.9905955,7.286306,9.702391,-5.120292
4,24,12,18.22781,12.17997,(2.7, -3.7),10.3583,-1.830103,-6.603476,6.301396,1.923006,-5.057307,5,23,16,29.45075,8.394011,(3.2, 13.6),0.9528728,-2.699981,2.741024,-2.973471,-3.798412,-15.3597
8,24,17,22.28561,13.66882,(1.0, -7.1),15.59703,-6.86518,-1.876983,2.887122,9.144543,-1.751326,5.1,23,16,29.45075,8.394011,(3.2, 15.5),0.9528728,-2.699981,2.741024,-4.464137,-5.142648,-17.58103
6,24,10,20.08462,12.86335,(2.7, -3.7),12.22958,-0.07847714,-9.855518,4.97857,1.923006,-7.085961,0.1,24,16,29.24692,10.02462,(3.2, 15.3),-1.939965,-2.699981,2.741024,-4.464137,-5.142648,-17.58103
4,26,10,18.20424,12.36859,(2.7, -3.7),7.953458,-0.05185223,-9.855518,4.97857,1.923006,-7.085961,5.1,23,16,29.16303,10.69574,(3.2, 19.0),2.128392,-6.124895,2.741024,-4.464137,-5.142648,-17.58103
6,24,18,17.44955,16.40871,(2.7, -3.8),13.18086,-2.385723,-6.603476,9.302303,0.5889902,-9.677722,5,24,16,29.24692,10.02462,(5.8, 17.2),-1.830509,-2.699981,1.7639,-5.954802,-3.097072,-19.80236
6,27,12,19.39912,15.85262,(4.4, -5.6),17.59818,-5.22357,-7.663855,0.8782476,10.56113,-5.057307,0.1,24,16,29.24692,10.02462,(5.8, 17.2),-1.830509,-2.699981,-0.01347244,-3.148352,-3.097072,-19.48549
6,24,18,17.44955,16.40871,(1.0, -3.8),7.524186,-2.385723,-7.862635,6.159152,3.722281,-9.677722,5.1,24,16,29.24692,10.02462,(7.0, 20.1),-3.929869,-2.699981,-2.847195,-2.447484,0.1653247,-19.48549
8,27,12,21.16488,17.26438,(4.4, -6.7),20.39916,-8.202586,-7.663855,0.8782476,11.98135,-5.057307,5.1,24,16,29.24692,10.02462,(8.2, 23.0),-6.029228,-2.699981,-5.680917,-1.746616,3.427722,-19.48549
8,27,12,21.16488,17.26438,(4.4, -6.7),17.558,-8.202586,-7.763245,0.8782476,11.98135,-5.057307,5,24,16,29.24692,10.02462,(7.0, 22.0),-5.839922,-0.2050703,-2.847195,-3.089765,-1.178911,-19.95153
8,27,12,21.16488,17.26438,(4.4, -6.7),14.71683,-8.202586,-7.862635,0.8782476,11.98135,-5.057307,5.1,24,16,29.24692,10.02462,(7.0, 22.0),-5.839922,-0.2050703,-4.624568,-0.2833147,-1.178911,-19.63466
8,27,10,21.1413,17.453,(4.4, -6.5),19.43654,-6.45096,-8.480458,2.521466,11.98135,-6.749582,10,24,16,29.24692,10.02462,(8.2, 28.3),-4.499146,-3.629984,-5.680917,-2.388897,2.083486,-19.95153
8,27,10,22.87524,18.21346,(4.4, -9.3),22.2777,-6.72877,-8.381068,0.9940497,11.98135,-9.05979,5.1,24,16,29.24692,10.02462,(8.2, 30.2),-4.499146,-3.629984,-5.680917,-3.879563,0.7392497,-22.17286
8,28,10,24.75562,18.70821,(4.4, -9.5),19.8656,-6.702145,-10.9159,-1.971995,11.98135,-9.396168,5.1,24,16,29.24692,10.02462,(8.2, 30.2),-4.499146,-3.629984,-7.45829,-1.073112,0.7392497,-21.85599
6,28,10,24.75562,18.70821,(2.7, -9.5),17.05009,-6.702145,-12.07567,-5.115147,15.11464,-9.396168,10,24,16,29.24692,10.02462,(9.3, 33.1),-8.508558,-1.135073,-8.514639,-2.330311,4.001647,-20.41757
8,28,10,24.75562,18.70821,(4.4, -12.1),17.02444,-6.702145,-11.01529,-1.971995,11.98135,-6.145011,10.1,24,16,29.24692,10.02462,(9.3, 35.0),-8.508558,-1.135073,-8.514639,-3.820976,2.657411,-22.6389
6,27,10,24.75562,18.70821,(4.4, -14.7),16.58812,-6.72877,-11.11468,-1.971995,11.98135,-2.893854,10,24,16,29.24692,10.02462,(8.2, 30.2),-8.319253,1.359838,-9.235662,3.430107,0.7392497,-18.02853
8,28,10,24.75562,18.70821,(2.7, -14.7),14.20892,-6.702145,-12.17506,-5.115147,15.11464,-2.893854,5.1,24,16,28.95921,12.32635,(8.2, 30.2),-10.58387,1.359838,-9.235662,3.430107,0.7392497,-18.02853
8,27,8,24.73204,18.89683,(4.4, -17.2),16.58812,-4.977143,-14.36672,-3.294821,11.98135,-1.671351,10,24,16,29.24692,10.02462,(12.0, 33.1),-10.30916,1.359838,-13.04651,4.130974,7.391458,-18.02853
8,28,8,24.73204,18.89683,(2.7, -17.2),14.20892,-4.950519,-15.4271,-6.437973,15.11464,-1.671351,15,25,16,28.75538,13.95695,(8.2, 30.0),-15.38676,3.854749,-9.235662,4.278491,0.7392497,-16.27324
6,28,10,24.75562,18.70821,(1.0, -14.7),5.711081,-6.702145,-13.53361,-8.258299,18.24793,-2.893854,5.1,25,16,28.75538,13.95695,(8.2, 30.0),-15.38676,3.854749,-11.01303,7.084941,0.7392497,-15.95637
6,28,14,31.15726,23.02666,(4.4, -14.8),11.3427,-5.506138,-14.36672,-3.294821,11.98135,-9.542923,10,24,16,29.24692,10.02462,(12.0, 40.0),-3.428884,-5.489989,-14.82388,6.937425,7.391458,-17.71166
8,28,14,31.26404,23.01999,(4.4, -14.8),10.76842,-5.506138,-14.36672,-3.294821,11.98135,-12.00158,5,24,16,29.24692,10.02462,(14.6, 36.6),-8.669619,0.4298356,-15.801,7.785809,10.78127,-15.95637
